news_headline,news_article,news_category
DGP removed on SO's recommendation: EC on TMC's letter on Mamata's injury,"While responding to TMC's letter on West Bengal CM Mamata Banerjee's injury, the Election Commission (EC) said it's unfortunate that the letter is full of insinuations. ""DGP wasn't removed without any application of mind. It was the outcome of the recommendation given by Special Observers (SO),"" it added. The incident should be inquired into with promptitude and dispatch, it said.",politics
MNM's Kamal Haasan to contest from Coimbatore South in TN polls,"Veteran actor and Makkal Needhi Maiam (MNM) President Kamal Haasan will be making his electoral debut from the Coimbatore South constituency in the upcoming Tamil Nadu Assembly polls. ""Coimbatore is a place close to my heart...My voice will ring like the sound of conch from Coimbatore in the Assembly. It's in people's hand for that to happen,"" Haasan said.",politics
BJP demands CBI probe on alleged attack on CM Mamata Banerjee,"BJP leader Dilip Ghosh has demanded a CBI probe into the alleged attack on West Bengal CM Mamata Banerjee and called it ""drama"". ""It needs to be probed...How come a Z-plus protectee gets attacked is a matter that has to be looked into,"" Ghosh added. The CM was hospitalised after she was injured during her campaign in Nandigram.",politics
PM's photo on COVID vaccine certificates to be removed in poll-bound states,"The certificates issued against COVID-19 vaccination in the poll-bound West Bengal, Tamil Nadu, Assam, Kerala and Puducherry will no longer carry PM Narendra Modi's photo. The decision has been taken by the Health Ministry after EC's order. TMC said the PM was using his position and power to steal the credits of medical and paramedical staff serving during the pandemic.",politics
India no longer democratic country: Rahul after Swedish institute's report,"Citing a media report about a Swedish institute's Democracy Report, which stated that India is an ""electoral autocracy"", Congress leader Rahul Gandhi said, ""India is no longer a democratic country."" India has been classified alongside Hungary and Turkey in the annual report from Sweden-based V-Dem Institute because of ""restrictions on multiple facets of democracy"".",politics
BJP women's wing protests against women MLAs pulling Hooda's tractor,"Delhi BJP's women's wing on Thursday staged a protest in front of the Congress headquarters at Akbar Road after Haryana's former CM Bhupinder Singh Hooda's tractor was seen being pulled by party's MLAs, including women during a protest. Meanwhile, National Commission for Women's chairperson Rekha Sharma has also condemned the incident and said it lowers the ""dignity"" of women. ",politics
"Mamata wasn't attacked ever before, how can someone do it now: Athawale","Union Minister Ramdas Athawale on Friday said, ""I don't know who attacked Mamata Banerjee or what was the plan...She wasn't attacked ever before, how can someone do it now."" He further said that the incident in which she got injured should be investigated. ""Looking at the situation in West Bengal, I think BJP will come into power,"" he added.",politics
Suvendu got hit 1st in 2006-2007: Min on WB CM suffering injuries,"BJP leader and Union Minister of Petroleum and Natural Gas Dharmendra Pradhan on Friday said, ""Two days ago, Didi said she had been lathi charged in Nandigram, but it was Suvendu Adhikari who got hit first and fought in 2006-2007 (land acquisition movement)."" Notably, CM Mamata Banerjee had said four-five people pushed her in Nandigram and police wasn't present.",politics
Mamata remembers Nandigram people when polls come: Suvendu,"BJP leader Suvendu Adhikari on Friday said that West Bengal CM Mamata Banerjee ""remembers [people of Nandigram] every five years when polls come"". ""My relationship with them is very old...They will defeat her,"" he further said, adding that he will be filing his nomination today. Notably, Banerjee had announced that she'll contest from Nandigram constituency in upcoming Assembly elections.",politics
6-member TMC delegation goes to ECI to raise Nandigram incident,"A six-member TMC delegation comprising MPs Derek O'Brien, Saugata Roy, among others, have gone to Election Commission of India's office today in Delhi to raise West Bengal's Nandigram incident wherein CM Mamata Banerjee suffered injuries. Banerjee had said that she was pushed by four-five persons while she was getting in the car and the police wasn't present.",politics
Mamata Banerjee was pushed when she was greeting people: Firhad Hakim,"West Bengal Minister Firhad Hakim on Thursday said, ""CM [Mamata Banerjee] was standing on footboard and greeting people when she was pushed."" He said, ""People are saying that it (Nandigram incident) happened after the vehicle hit an iron pole. Had that been the case, there would've been scratch marks on vehicle. But there's none."" ""We're demanding probe,"" he added.",politics
Jacobite church leaders to meet Shah in Delhi ahead of Kerala polls,"Ahead of the upcoming Kerala Assembly elections, Jacobite church leaders reached Delhi on Friday to meet Union Home Minister Amit Shah to find a solution to the feud between Orthodox and Jacobite sects of the Malankara Syrian Church. They lost control of many churches to the rival Orthodox faction following the implementation of the Supreme Court verdict in 2017.",politics
Mamata Banerjee's sudden injury is sad and unfortunate: Mayawati,"BSP chief and former UP CM Mayawati on Friday said, ""West Bengal Chief Minister and Trinamool Congress chief Mamata Banerjee's sudden injury during the election is very sad and unfortunate."" She further wished her a speedy recovery and said that BSP demands that Election Commission of India (ECI) also took the matter seriously and ordered a high-level investigation.",politics
"BJP, Cong to battle in 5 constituencies in TN Assembly elections","BJP and Congress will battle in five constituencies in the upcoming Tamil Nadu Assembly elections, namely Colachel, Vilavancode, Coimbatore South, Udhagamandalam and Karaikudi. This comes after DMK allotted seats to its alliance parties Congress, CPI and others. ""This alliance...formed to defeat Modi's divisive politics and corrupt AIADMK,"" Tamil Nadu Congress Committee President KS Alagiri said.",politics
India becoming increasingly chained by authoritarian forces: Rahul,"Congress leader Rahul Gandhi on Friday said that India is becoming increasingly chained by authoritarian forces led by the RSS. ""We must renew our individual commitment to collective freedom,"" he added. Rahul further remarked that students in the country want jobs but the government is giving them ""beating by police, spraying by water cannon, tag of 'anti-national' and unemployment"".",politics
